Row,location,Extent_meters,VBRICH,VBRICH_Grass,VBRICH_Nongrass,VBRICH_unknown,Noncrop_perc,Noncrop_m2,Texture_Dis,Texture_Var
316,Collaborator 34,500,13,9,3,1,5.4219,4258350.302,0.369475616,0.439518363
317,Collaborator 34,600,13,9,3,1,5.1295,5801327.826,0.389470886,0.428267499
318,Collaborator 34,700,13,9,3,1,4.6817,7206917.22,0.360438596,0.382092446
319,Collaborator 34,800,13,9,3,1,4.8482,9747884.482,0.338511053,0.358225672
320,Collaborator 34,900,13,9,3,1,5.2437,13343591.21,0.333927928,0.335491804
321,McNay ISRF 1,100,15,11,4,0,42.5897,1337994.886,0.45733687,0.293176873
322,McNay ISRF 1,1000,15,11,4,0,53.1191,166878574.3,0.136860858,0.603529599
323,McNay ISRF 1,200,15,11,4,0,49.6454,6238624.957,0.263178491,0.385774448
324,McNay ISRF 1,300,15,11,4,0,47.1693,13336805.37,0.214075547,0.624465084
325,McNay ISRF 1,400,15,11,4,0,48.5241,24390872.97,0.211349705,0.566987207
326,McNay ISRF 1,500,15,11,4,0,50.7029,39821964.54,0.186100455,0.572276183
327,McNay ISRF 1,600,15,11,4,0,50.6481,57281651.6,0.168850307,0.584798912
328,McNay ISRF 1,700,15,11,4,0,50.4374,77642345,0.147438904,0.600127361
329,McNay ISRF 1,800,15,11,4,0,50.8899,102320215,0.141334518,0.582400307
330,McNay ISRF 1,900,15,11,4,0,51.117,130076921.3,0.13842016,0.590161517
331,McNay ISRF 2,100,12,9,3,0,38.6986,1215752.375,0.565548387,0.440545107
332,McNay ISRF 2,1000,12,9,3,0,50.5999,158964274.1,0.171986239,0.583886103
333,McNay ISRF 2,200,12,9,3,0,41.1663,5173109.826,0.275319696,0.490069833
334,McNay ISRF 2,300,12,9,3,0,39.3508,11126176.58,0.246935934,0.470518325
335,McNay ISRF 2,400,12,9,3,0,46.3498,23297950.59,0.260161924,0.495110954
336,McNay ISRF 2,500,12,9,3,0,47.7829,37528601.9,0.23002439,0.52807936
337,McNay ISRF 2,600,12,9,3,0,49.358,55822582.87,0.204253896,0.509305187
338,McNay ISRF 2,700,12,9,3,0,47.9373,73793740.06,0.201409671,0.52525821
339,McNay ISRF 2,800,12,9,3,0,49.0994,98720201.17,0.195695721,0.566033859
340,McNay ISRF 2,900,12,9,3,0,50.6427,128869974.8,0.16818138,0.565594422
341,Allee ISRF 2,100,10,4,6,0,1.1627,36527.29778,0.304,0.281851363
342,Allee ISRF 2,1000,10,4,6,0,10.1564,31907271.63,0.241634211,0.415926385
343,Allee ISRF 2,200,10,4,6,0,0.8459,106298.929,0.24096,0.269071258
344,Allee ISRF 2,300,10,4,6,0,0.4763,134670.6523,0.268170492,0.317433689
345,Allee ISRF 2,400,10,4,6,0,0.7201,361961.7392,0.279079057,0.204478339
346,Allee ISRF 2,500,10,4,6,0,2.6351,2069602.7,0.087854243,0.042930242
347,Allee ISRF 2,600,10,4,6,0,2.9231,3305948.215,0.100094187,0.048115597
348,Allee ISRF 2,700,10,4,6,0,3.7278,5738502.256,0.140110345,0.167896881
349,Allee ISRF 2,800,10,4,6,0,6.0009,12065525.35,0.183923892,0.446323507
350,Allee ISRF 2,900,10,4,6,0,9.2597,23563066.45,0.22253476,0.422213134
351,Collaborator 35,100,19,11,6,2,59.9255,1882615.106,0.263772114,0.560678212
352,Collaborator 35,1000,19,11,6,2,20.2882,63737260.07,0.17647034,0.7200708
353,Collaborator 35,200,19,11,6,2,39.0042,4901412.327,0.224392115,0.622492758
354,Collaborator 35,300,19,11,6,2,39.7566,11240913.82,0.243404864,0.665136426
355,Collaborator 35,400,19,11,6,2,34.4732,17328120.3,0.239630013,0.680318842
356,Collaborator 35,500,19,11,6,2,30.6203,24049127.38,0.212655421,0.714295079
357,Collaborator 35,600,19,11,6,2,27.2409,30808732.07,0.191864326,0.738793897
358,Collaborator 35,700,19,11,6,2,24.1192,37128623.75,0.181573001,0.742380949
359,Collaborator 35,800,19,11,6,2,23.1569,46559710.03,0.170850027,0.707049264
360,Collaborator 35,900,19,11,6,2,22.1099,56262842.52,0.17039317,0.723100807
361,Collaborator 36,100,12,8,4,1,15.7488,494763.1438,0.321311859,0.603174829
362,Collaborator 36,1000,12,8,4,1,9.0676,28486705.55,0.175665852,0.132542897
363,Collaborator 36,200,12,8,4,1,12.4058,1558958.806,0.311246983,0.226248094
364,Collaborator 36,300,12,8,4,1,12.8541,3634411.152,0.211040957,0.153860797
365,Collaborator 36,400,12,8,4,1,11.3371,5698648.012,0.161502552,0.132165941
366,Collaborator 36,500,12,8,4,1,10.4665,8220369.877,0.155721622,0.123550984
367,Collaborator 36,600,12,8,4,1,10.8388,12258394,0.185810946,0.128635001
368,Collaborator 36,700,12,8,4,1,11.3213,17427787.33,0.155266326,0.111672726
369,Collaborator 36,800,12,8,4,1,10.8229,21760731.6,0.171373935,0.130673561
370,Collaborator 36,900,12,8,4,1,9.6153,24467958.23,0.173664938,0.128154837
371,Collaborator 37,100,14,9,5,1,3.9528,124180.8744,0.515417476,0.509344212
372,Collaborator 37,1000,14,9,5,1,9.0631,28472568.38,0.325914051,0.358072837
373,Collaborator 37,200,14,9,5,1,1.6519,207583.8762,0.356649573,0.331664948
374,Collaborator 37,300,14,9,5,1,5.0578,1430059.259,0.622116746,0.43265565
375,Collaborator 37,400,14,9,5,1,5.4969,2763043.305,0.606665077,0.43810132
376,Collaborator 37,500,14,9,5,1,6.2932,4942667.722,0.486210571,0.404246959
377,Collaborator 37,600,14,9,5,1,8.7056,9845801.642,0.407001686,0.380985558
378,Collaborator 37,700,14,9,5,1,9.1034,14013595.54,0.363639927,0.299238197
379,Collaborator 37,800,14,9,5,1,9.5038,19108523.69,0.360945171,0.323646094
380,Collaborator 37,900,14,9,5,1,9.3845,23880643.77,0.323017397,0.341867832
381,Collaborator 2,100,14,7,5,2,18.9956,596764.3741,0.470693878,0.372204794
382,Collaborator 2,1000,14,7,5,2,20.1656,63352100.82,0.244342868,0.586787518
383,Collaborator 2,200,14,7,5,2,12.7328,1600050.838,0.349632653,0.336895314
384,Collaborator 2,300,14,7,5,2,8.7813,2482854.081,0.320269758,0.339590541
385,Collaborator 2,400,14,7,5,2,7.7819,3911609.579,0.293443715,0.402004748
386,Collaborator 2,500,14,7,5,2,7.1485,5614418.771,0.276342613,0.461984156
387,Collaborator 2,600,14,7,5,2,6.2969,7121626.121,0.26354658,0.49949313
388,Collaborator 2,700,14,7,5,2,7.719,11882477.31,0.223540725,0.583502789
389,Collaborator 2,800,14,7,5,2,11.9863,24099886.1,0.262353824,0.632906002
390,Collaborator 2,900,14,7,5,2,17.1949,43755690.93,0.263833226,0.60573074
391,Collaborator 38,100,17,9,6,2,7.4226,233187.8563,0.907739645,0.730251282
392,Collaborator 38,1000,17,9,6,2,12.3465,38787673.7,0.238029655,0.539391151
393,Collaborator 38,200,17,9,6,2,12.3191,1548063.762,0.375033816,0.635302561
394,Collaborator 38,300,17,9,6,2,14.3672,4062230.098,0.349748344,0.541517203
395,Collaborator 38,400,17,9,6,2,19.462,9782668.196,0.226844144,0.508830785
396,Collaborator 38,500,17,9,6,2,19.8457,15586776.33,0.249457159,0.498603298
397,Collaborator 38,600,17,9,6,2,16.8008,19001257.15,0.2520707,0.510092695
398,Collaborator 38,700,17,9,6,2,15.3057,23561294.59,0.240869764,0.511823405
399,Collaborator 38,800,17,9,6,2,13.849,27845066.66,0.237296166,0.541106214
400,Collaborator 38,900,17,9,6,2,12.7294,32392377.51,0.232958283,0.53408555
401,Collaborator 3,100,16,7,8,1,73.6108,2312551.485,0.418625508,0.521171624
402,Collaborator 3,1000,16,7,8,1,20.2361,63573583.1,0.218407572,0.614210258
403,Collaborator 3,200,16,7,8,1,64.1953,8067019.315,0.326359408,0.564069138
404,Collaborator 3,300,16,7,8,1,40.3912,11420342.75,0.32525617,0.537747158
405,Collaborator 3,400,16,7,8,1,31.2228,15694291.06,0.271559832,0.651810242
406,Collaborator 3,500,16,7,8,1,28.0412,22023506.98,0.26214428,0.639351488
407,Collaborator 3,600,16,7,8,1,24.0613,27212689.19,0.24642867,0.632681814
408,Collaborator 3,700,16,7,8,1,21.0692,32433513.53,0.23684188,0.62673568
409,Collaborator 3,800,16,7,8,1,19.3916,38989125.18,0.210968984,0.590191186
410,Collaborator 3,900,16,7,8,1,19.7425,50238543.3,0.219587251,0.603533858
411,Collaborator 4,100,20,11,8,1,51.2996,1611624.465,0.360109589,0.736156135
412,Collaborator 4,1000,20,11,8,1,18.0652,56753499.61,0.266878944,0.376758711
413,Collaborator 4,200,20,11,8,1,42.0059,5278617.074,0.410299678,0.525019502
414,Collaborator 4,300,20,11,8,1,27.8282,7868238.181,0.379438277,0.504165007
415,Collaborator 4,400,20,11,8,1,19.2265,9664292.985,0.358243147,0.461771761
416,Collaborator 4,500,20,11,8,1,16.004,12569512.21,0.320830189,0.414888542
417,Collaborator 4,600,20,11,8,1,16.7192,18908969.72,0.279299712,0.421344749
418,Collaborator 4,700,20,11,8,1,17.9125,27574151.42,0.267142809,0.36724271
419,Collaborator 4,800,20,11,8,1,18.4758,37147800.03,0.251486156,0.329247328
420,Collaborator 4,900,20,11,8,1,17.8803,45499821.49,0.252660227,0.361341688
421,Collaborator 5,100,20,11,7,2,25.7239,808140.1526,0.304381316,0.556333336
422,Collaborator 5,1000,20,11,7,2,25.4694,80014479.93,0.196068115,0.70167331
423,Collaborator 5,200,20,11,7,2,18.9019,2375282.807,0.258042324,0.469095509
424,Collaborator 5,300,20,11,7,2,19.7959,5597158.861,0.270650602,0.543077886
425,Collaborator 5,400,20,11,7,2,23.2978,11710751.57,0.267832266,0.526231469
426,Collaborator 5,500,20,11,7,2,26.6861,20959213.93,0.288366624,0.50736982
427,Collaborator 5,600,20,11,7,2,28.3424,32054499.23,0.26677424,0.508923058
428,Collaborator 5,700,20,11,7,2,26.9512,41488149.04,0.262215636,0.49671381
429,Collaborator 5,800,20,11,7,2,24.9979,50261260.16,0.201950225,0.703423651
430,Collaborator 5,900,20,11,7,2,25.0012,63620304.86,0.199310773,0.697348515
431,Collaborator 6,100,12,7,5,0,14.0957,442829.4757,0.512806299,0.33307571
432,Collaborator 6,1000,12,7,5,0,7.191,22591192.77,0.199243302,0.442001313
433,Collaborator 6,200,12,7,5,0,11.6694,1466420.052,0.429608343,0.31156673
434,Collaborator 6,300,12,7,5,0,12.5584,3550803.946,0.251802751,0.395616751
435,Collaborator 6,400,12,7,5,0,11.6124,5837028.885,0.25320837,0.384847111
436,Collaborator 6,500,12,7,5,0,9.7353,7646086.74,0.242701847,0.34666798
437,Collaborator 6,600,12,7,5,0,8.1789,9250117.976,0.242431629,0.333780551
438,Collaborator 6,700,12,7,5,0,7.3917,11378638.1,0.19810221,0.402125505
439,Collaborator 6,800,12,7,5,0,6.8295,13731524.5,0.195712259,0.412254826
440,Collaborator 6,900,12,7,5,0,7.3515,18707288.9,0.201840359,0.430870946
