Row,location,Extent_meters,VBRICH,VBRICH_Grass,VBRICH_Nongrass,VBRICH_unknown,Noncrop_perc,Noncrop_m2,Texture_Dis,Texture_Var
106,Collaborator 16,500,13,10,4,1,7.3072,5739061.46,0.258797134,0.330461004
107,Collaborator 16,600,13,10,4,1,7.3323,8292635.933,0.293222966,0.328970383
108,Collaborator 16,700,13,10,4,1,6.5284,10049691.01,0.299106748,0.312966235
109,Collaborator 16,800,13,10,4,1,7.0229,14120378.27,0.249435036,0.505157677
110,Collaborator 16,900,13,10,4,1,9.419,23968435.58,0.17485236,0.63659233
111,Armstrong ISRF 1,100,14,7,5,2,36.8084,1156369.99,0.222366643,0.762974217
112,Armstrong ISRF 1,1000,14,7,5,2,19.7641,62090751.36,0.172907708,0.513712625
113,Armstrong ISRF 1,200,14,7,5,2,11.7118,1471748.194,0.247675064,0.681574356
114,Armstrong ISRF 1,300,14,7,5,2,9.1321,2582040.444,0.261875238,0.636874497
115,Armstrong ISRF 1,400,14,7,5,2,11.403,5731772.965,0.341510894,0.525523169
116,Armstrong ISRF 1,500,14,7,5,2,15.1544,11902237.93,0.264738828,0.404798253
117,Armstrong ISRF 1,600,14,7,5,2,18.2942,20690252.76,0.267963136,0.38682839
118,Armstrong ISRF 1,700,14,7,5,2,20.0245,30825322.82,0.223558494,0.455193132
119,Armstrong ISRF 1,800,14,7,5,2,19.3306,38866477.41,0.209224583,0.469717081
120,Armstrong ISRF 1,900,14,7,5,2,20.3807,51862564.49,0.175370906,0.512107477
121,Collaborator 19,100,20,8,12,0,21.544,676824.7213,0.276114286,0.464122841
122,Collaborator 19,1000,20,8,12,0,28.9773,91034872.8,0.283502293,0.568085231
123,Collaborator 19,200,20,8,12,0,25.5517,3210921.32,0.387368421,0.471164383
124,Collaborator 19,300,20,8,12,0,27.6023,7804366.461,0.391092937,0.608427788
125,Collaborator 19,400,20,8,12,0,25.3357,12735111.84,0.328694918,0.60136018
126,Collaborator 19,500,20,8,12,0,19.96,15676547.34,0.344470588,0.587827344
127,Collaborator 19,600,20,8,12,0,17.2885,19552832.85,0.350350515,0.573209551
128,Collaborator 19,700,20,8,12,0,18.5743,28592913.37,0.362145192,0.5538297
129,Collaborator 19,800,20,8,12,0,21.5885,43406254.72,0.335722402,0.521992059
130,Collaborator 19,900,20,8,12,0,24.808,63128670.75,0.293489887,0.546318547
131,Collaborator 21,100,11,7,3,1,8.1957,257475.5091,0.411890526,0.613306303
132,Collaborator 21,1000,11,7,3,1,8.0632,25331289.88,0,1
133,Collaborator 21,200,11,7,3,1,5.2055,654142.4223,0.386706767,0.377420153
134,Collaborator 21,300,11,7,3,1,3.9398,1113952.206,0.40384387,0.419361403
135,Collaborator 21,400,11,7,3,1,6.0609,3046540.626,0.340818898,0.443052024
136,Collaborator 21,500,11,7,3,1,8.6222,6771860.044,0.228268764,0.69548704
137,Collaborator 21,600,11,7,3,1,7.382,8348845.309,0.245523055,0.716624905
138,Collaborator 21,700,11,7,3,1,6.5568,10093409.41,0,1
139,Collaborator 21,800,11,7,3,1,6.188,12441712.22,0,1
140,Collaborator 21,900,11,7,3,1,6.6502,16922697.77,0,1
141,Collaborator 23,100,12,7,5,1,9.1304,286839.9756,0.676682927,0.720471976
142,Collaborator 23,1000,12,7,5,1,6.6875,21009400.87,0.239197335,0.570315564
143,Collaborator 23,200,12,7,5,1,4.2556,534774.4679,0.586329114,0.652305911
144,Collaborator 23,300,12,7,5,1,2.7862,787779.4906,0.583916143,0.621397789
145,Collaborator 23,400,12,7,5,1,2.1535,1082467.165,0.375384615,0.48185248
146,Collaborator 23,500,12,7,5,1,2.5869,2031746.509,0.458320703,0.47779571
147,Collaborator 23,600,12,7,5,1,4.2034,4753933.402,0.436435374,0.451495552
148,Collaborator 23,700,12,7,5,1,5.312,8177188.686,0.402595236,0.485296064
149,Collaborator 23,800,12,7,5,1,5.8129,11687528.92,0.382016529,0.499136343
150,Collaborator 23,900,12,7,5,1,6.4728,16471269.75,0.178415376,0.66258646
151,Collaborator 22,100,13,7,5,1,16.1053,505962.9216,0.354436548,0.385811073
152,Collaborator 22,1000,13,7,5,1,7.8942,24800360.73,0.29276095,0.545033585
153,Collaborator 22,200,13,7,5,1,10.2331,1285929.271,0.418754717,0.532123209
